"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/measurements_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/measurements.csv?datainfo&rowcount&base_name=Bivalvia,%20Gastropoda,%20Brachiopoda&interval=Cenozoic"
"Access Time","Fri 2025-12-12 13:55:29 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Bivalvia, Gastropoda, Brachiopoda"
"","interval","Cenozoic"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","1.18"
"Records Found","6076"
"Records Returned","6076"
"Records:"
"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"30537","15360","mea","1","","height","9","",""
"30538","15360","mea","1","","width","2","",""
"30539","15361","mea","1","","width","28","",""
"30540","15361","mea","1","","height","28","",""
"30541","15362","mea","1","","width","25","",""
"30542","15362","mea","1","","height","22","",""
"30543","15363","mea","1","","height","18","",""
"30544","15364","mea","1","","height","13","",""
"30545","15365","mea","1","","width","6","",""
"30546","15365","mea","1","","height","7","",""
"30547","15366","mea","1","","width","21","",""
"30548","15366","mea","1","","height","25","",""
"30549","15367","mea","1","","width","23","",""
"30550","15367","mea","1","","height","23","",""
"30551","15368","mea","1","","width","21","",""
"30552","15368","mea","1","","height","23","",""
"30553","15369","mea","1","","width","20","",""
"30554","15369","mea","1","","height","20","",""
"30555","15370","mea","1","","width","20","",""
"30556","15370","mea","1","","height","20","",""
"30557","15371","mea","1","","width","18","",""
"30558","15371","mea","1","","height","18","",""
"30559","15372","mea","1","","width","11","",""
"30560","15372","mea","1","","height","10","",""
"30561","15373","mea","1","","width","6","",""
"30562","15373","mea","1","","height","20","",""
"30563","15374","mea","1","","height","3","",""
"30564","15375","mea","1","","height","2","",""
"30565","15376","mea","1","","height","4.2","",""
"30566","15376","mea","1","","width","3","",""
"30567","15377","mea","1","","width","3","",""
"30568","15377","mea","1","","height","3","",""
"30569","15378","mea","1","","width","2","",""
"30570","15378","mea","1","","height","2","",""
"30571","15379","mea","1","","height","9","",""
"30572","15379","mea","1","","width","16","",""
"30585","15386","mea","1","","height","5","",""
"30586","15387","mea","1","","height","3","",""
"30587","15388","mea","1","","height","3","",""
"30588","15388","mea","1","","width","5","",""
"30589","15389","mea","1","","height","2","",""
"30590","15389","mea","1","","width","3","",""
"30591","15390","mea","1","","height","2","",""
"30592","15390","mea","1","","width","4","",""
"30593","15391","mea","1","","height","10","",""
"30594","15392","mea","1","","height","7","",""
"30595","15393","mea","1","","height","5","",""
"30596","15394","mea","1","","width","6","",""
"30597","15395","mea","1","","width","11","",""
"30598","15395","mea","1","","height","10","",""
"30599","15396","mea","1","","width","16","",""
"30600","15397","mea","1","","height","9","",""
"30601","15398","mea","1","","width","9","",""
"30602","15398","mea","1","","height","28","",""
"30603","15399","mea","1","","width","6","",""
"30604","15399","mea","1","","height","15","",""
"30605","15400","mea","1","","width","2","",""
"30606","15401","mea","1","","width","6","",""
"30607","15402","mea","1","","width","5","",""
"30608","15403","mea","1","","width","7","",""
"30609","15404","mea","1","","height","3","",""
"30610","15404","mea","1","","width","3","",""
"30611","15405","mea","1","","height","2","",""
"30612","15405","mea","1","","width","2","",""
"30613","15406","mea","1","","height","16","",""
"30614","15406","mea","1","","width","15","",""
"30615","15407","mea","1","","height","12","",""
"30616","15407","mea","1","","width","12","",""
"30617","15408","mea","1","","height","12","",""
"30618","15408","mea","1","","width","12","",""
"30619","15409","mea","1","","height","10","",""
"30620","15409","mea","1","","width","10","",""
"30621","15410","mea","1","","height","10","",""
"30622","15410","mea","1","","width","10","",""
"30623","15411","mea","1","","width","35","",""
"30624","15411","mea","1","","height","28","",""
"30625","15412","mea","1","","width","26","",""
"30626","15413","mea","1","","width","32","",""
"30627","15414","mea","1","","width","4","",""
"30628","15415","mea","1","","width","12","",""
"30629","15415","mea","1","","height","13","",""
"30630","15416","mea","1","","width","6","",""
"30631","15416","mea","1","","height","7","",""
"30632","15417","mea","1","","width","3","",""
"30633","15417","mea","1","","height","4","",""
"30634","15418","mea","1","","width","5","",""
"30635","15419","mea","1","","height","20","",""
"30636","15419","mea","1","","width","15","",""
"30637","15420","mea","1","","width","11","",""
"30638","15421","mea","1","","width","7","",""
"30639","15421","mea","1","","height","25","",""
"30640","15422","mea","1","","height","13","",""
"30641","15422","mea","1","","width","9","",""
"30642","15423","mea","1","","height","7","",""
"30643","15423","mea","1","","width","3","",""
"30644","15424","mea","1","","width","7","",""
"30645","15425","mea","1","","width","5","",""
"30646","15426","mea","1","","width","2","",""
"30647","15427","mea","1","","width","3","",""
"30648","15428","mea","1","","width","2","",""
"30649","15429","mea","1","","width","6","",""
"30650","15429","mea","1","","height","12","",""
"30651","15430","mea","1","","width","7","",""
"30652","15431","mea","1","","width","15","",""
"30653","15432","mea","1","","width","5","",""
"30654","15433","mea","1","","width","10","",""
"30655","15434","mea","1","","height","4.5","",""
"30656","15434","mea","1","","width","6","",""
"30657","15435","mea","1","","height","3","",""
"30658","15435","mea","1","","width","4.5","",""
"30659","15436","mea","1","","height","3","",""
"30660","15436","mea","1","","width","5","",""
"30661","15437","mea","1","","height","3","",""
"30662","15437","mea","1","","width","4","",""
"30663","15438","mea","1","","height","5","",""
"30664","15438","mea","1","","width","4","",""
"30665","15439","mea","1","","width","5","",""
"30666","15439","mea","1","","height","11","",""
"30667","15440","mea","1","","width","3","",""
"30668","15440","mea","1","","height","7","",""
"30669","15441","mea","1","","width","4","",""
"30670","15441","mea","1","","height","3","",""
"30671","15442","mea","1","","height","9","",""
"30672","15442","mea","1","","width","12","",""
"30673","15443","mea","1","","height","11","",""
"30674","15443","mea","1","","width","18","",""
"30675","15444","mea","1","","height","8","",""
"30676","15444","mea","1","","width","15","",""
"30677","15445","mea","1","","height","7","",""
"30678","15445","mea","1","","width","12","",""
"30679","15446","mea","1","","height","7","",""
"30680","15446","mea","1","","width","12","",""
"30681","15447","mea","1","","width","6","",""
"30682","15448","mea","1","","width","2","",""
"30683","15448","mea","1","","height","5","",""
"30684","15449","mea","1","","width","1.3","",""
"30685","15449","mea","1","","height","4","",""
"30686","15450","mea","1","","width","1","",""
"30687","15451","mea","1","","width","1.5","",""
"30688","15452","mea","1","","width","1.5","",""
"30689","15453","mea","1","","width","9.6","",""
"30690","15453","mea","1","","height","6","",""
"30691","15454","mea","1","","width","8","",""
"30692","15454","mea","1","","height","6","",""
"30693","15455","mea","1","","width","7","",""
"30694","15455","mea","1","","height","5","",""
"30695","15456","mea","1","","height","4","",""
"30696","15457","mea","1","","width","6","",""
"30697","15457","mea","1","","height","3","",""
"30698","15458","mea","1","","height","9","",""
"30699","15458","mea","1","","width","6","",""
"30700","15459","mea","1","","height","7","",""
"30701","15460","mea","1","","height","7","",""
"30702","15461","mea","1","","height","7","",""
"30703","15461","mea","1","","width","5","",""
"30704","15462","mea","1","","height","6","",""
"30705","15462","mea","1","","width","5","",""
"30706","15463","mea","1","","height","4","",""
"30707","15463","mea","1","","width","3","",""
"30708","15464","mea","1","","height","3","",""
"30709","15464","mea","1","","width","2","",""
"30710","15465","mea","1","","height","10","",""
"30711","15465","mea","1","","width","18","",""
"30712","15466","mea","1","","height","10.62","",""
"30713","15467","mea","1","","height","36.46","",""
"30714","15467","mea","1","","width","34.55","",""
"30715","15468","mea","1","","height","31.43","",""
"30716","15468","mea","1","","width","29.33","",""
"30717","15469","mea","1","","height","24.45","",""
"30718","15469","mea","1","","width","25.19","",""
"30719","15470","mea","1","","height","28.5","",""
"30720","15470","mea","1","","width","31.2","",""
"30721","15471","mea","1","","height","31.45","",""
"30722","15471","mea","1","","width","32.1","",""
"30723","15472","mea","1","","height","32.91","",""
"30724","15472","mea","1","","width","32.25","",""
"30725","15473","mea","1","","height","27.87","",""
"30726","15473","mea","1","","width","30.29","",""
"30727","15474","mea","1","","height","27.42","",""
"30728","15474","mea","1","","width","29.35","",""
"30729","15475","mea","1","","height","29.86","",""
"30730","15475","mea","1","","width","29.21","",""
"30731","15476","mea","1","","height","27.86","",""
"30732","15476","mea","1","","width","27.74","",""
"30733","15477","mea","1","","height","26.5","",""
"30734","15477","mea","1","","width","27.33","",""
"30735","15478","mea","1","","height","29.51","",""
"30736","15478","mea","1","","width","29.43","",""
"30737","15479","mea","1","","height","24.96","",""
"30738","15479","mea","1","","width","27.53","",""
"30739","15480","mea","1","","height","29.9","",""
"30740","15480","mea","1","","width","31.06","",""
"30741","15481","mea","1","","height","30.4","",""
"30742","15481","mea","1","","width","31.31","",""
"30743","15482","mea","1","","height","30.57","",""
"30744","15482","mea","1","","width","32.15","",""
"30745","15483","mea","1","","height","34.76","",""
"30746","15483","mea","1","","width","32.52","",""
"30747","15484","mea","1","","width","70.11","",""
"30748","15484","mea","1","","height","46.17","",""
"30749","15485","mea","1","","width","3.94","",""
"30750","15485","mea","1","","height","14.62","",""
"30751","15486","mea","1","","width","9.53","",""
"30752","15487","mea","1","","width","34.79","",""
"30753","15488","mea","1","","height","10.95","",""
"30754","15488","mea","1","","width","4.03","",""
"30755","15489","mea","1","","height","22","",""
"30756","15490","mea","1","","height","22","",""
"30757","15491","mea","1","","width","7.42","",""
"30758","15491","mea","1","","height","15.7","",""
"30759","15492","mea","1","","height","36.39","",""
"30760","15492","mea","1","","width","11.39","",""
"30761","15493","mea","1","","height","19.04","",""
"30762","15493","mea","1","","width","8.36","",""
"30763","15494","mea","1","","width","8.22","",""
"30764","15494","mea","1","","height","15.63","",""
"30765","15495","mea","1","","height","10","",""
"30766","15496","mea","1","","height","5","",""
"30767","15497","mea","1","","height","3","",""
"30768","15498","mea","1","","height","7","",""
"30769","15499","mea","1","","height","6","",""
"30770","15500","mea","1","","height","35.8","",""
"30771","15500","mea","1","","width","38.9","",""
"30772","15501","mea","1","","height","35","",""
"30773","15501","mea","1","","width","37.4","",""
"30774","15502","mea","1","","height","33.2","",""
"30775","15502","mea","1","","width","35.2","",""
"30776","15503","mea","1","","height","31.7","",""
"30777","15503","mea","1","","width","32.6","",""
"30778","15504","mea","1","","height","31.6","",""
"30779","15504","mea","1","","width","34.8","",""
"30780","15505","mea","1","","height","30.8","",""
"30781","15505","mea","1","","width","29.2","",""
"30782","15506","mea","1","","height","31.1","",""
"30783","15506","mea","1","","width","32.8","",""
"30784","15507","mea","1","","height","30.8","",""
"30785","15507","mea","1","","width","34.9","",""
"30786","15508","mea","1","","height","30.7","",""
"30787","15508","mea","1","","width","34.4","",""
"30788","15509","mea","1","","height","30.5","",""
"30789","15509","mea","1","","width","34.5","",""
"30790","15510","mea","1","","height","29.9","",""
"30791","15510","mea","1","","width","33.2","",""
"30792","15511","mea","1","","height","29.7","",""
"30793","15511","mea","1","","width","30.1","",""
"30794","15512","mea","1","","height","29.5","",""
"30795","15512","mea","1","","width","33.4","",""
"30796","15513","mea","1","","height","29.4","",""
"30797","15513","mea","1","","width","31.5","",""
"30798","15514","mea","1","","height","28","",""
"30799","15514","mea","1","","width","32.1","",""
"30800","15515","mea","1","","height","27.6","",""
"30801","15515","mea","1","","width","30","",""
"30802","15516","mea","1","","height","26.8","",""
"30803","15516","mea","1","","width","28.8","",""
"30804","15517","mea","1","","height","25.4","",""
"30805","15517","mea","1","","width","29.9","",""
"30806","15518","mea","1","","height","25.4","",""
"30807","15518","mea","1","","width","26.9","",""
"30808","15519","mea","1","","width","45.18","",""
"30809","15519","mea","1","","height","31.32","",""
"30810","15520","mea","1","","width","34.03","",""
"30811","15520","mea","1","","height","27.21","",""
"30812","15521","mea","1","","width","34.23","",""
"30813","15521","mea","1","","height","26.82","",""
"30814","15522","mea","1","","width","40.17","",""
"30815","15522","mea","1","","height","26.74","",""
"30816","15523","mea","1","","width","37.99","",""
"30817","15523","mea","1","","height","26.17","",""
"30818","15524","mea","1","","width","30.64","",""
"30819","15524","mea","1","","height","21.94","",""
"30820","15525","mea","1","","width","35.8","",""
"30821","15525","mea","1","","height","36.2","",""
"30822","15526","mea","1","","height","15.58","",""
"30823","15526","mea","1","","width","17.23","",""
"30824","15527","mea","1","","height","41.2","",""
"30825","15527","mea","1","","width","43.6","",""
"30826","15528","mea","1","","height","32.34","",""
"30827","15528","mea","1","","width","41.62","",""
"30828","15529","mea","1","","height","26.1","",""
"30829","15529","mea","1","","width","28.4","",""
"30830","15530","mea","1","","height","19.7","",""
"30831","15530","mea","1","","width","25.4","",""
"30832","15531","mea","1","","width","13.19","",""
"30833","15531","mea","1","","height","10.78","",""
"30834","15532","mea","1","","width","33.8","",""
"30835","15532","mea","1","","height","32.6","",""
"30836","15533","mea","1","","width","33.8","",""
"30837","15533","mea","1","","height","27.9","",""
"30838","15534","mea","1","","width","43.7","",""
"30839","15534","mea","1","","height","40.2","",""
"30840","15535","mea","1","","width","38.9","",""
"30841","15535","mea","1","","height","34","",""
"30842","15536","mea","1","","width","38.1","",""
"30843","15536","mea","1","","height","43.3","",""
"30844","15537","mea","1","","width","36.7","",""
"30845","15537","mea","1","","height","36","",""
"30846","15538","mea","1","","height","34.4","",""
"30847","15538","mea","1","","width","15.9","",""
"30848","15539","mea","1","","width","10.7","",""
"30849","15540","mea","1","","height","17.8","",""
"30850","15540","mea","1","","width","24.3","",""
"30851","15541","mea","1","","height","17.7","",""
"30852","15541","mea","1","","width","23.9","",""
"30853","15542","mea","1","","height","27.4","",""
"30854","15542","mea","1","","width","35.8","",""
"30855","15543","mea","1","","width","13.3","",""
"30856","15543","mea","1","","height","17.1","",""
"30857","15544","mea","1","","width","12.5","",""
"30858","15544","mea","1","","height","18.2","",""
"30859","15545","mea","1","","width","21","",""
"30860","15545","mea","1","","height","18.9","",""
"30861","15546","mea","1","","width","20.6","",""
"30862","15546","mea","1","","height","16.2","",""
"30863","15547","mea","1","","width","14.4","",""
"30864","15547","mea","1","","height","15.8","",""
"30865","15548","mea","1","","width","13.1","",""
"30866","15548","mea","1","","height","16.1","",""
"30867","15549","mea","1","","width","9.4","",""
"30868","15549","mea","1","","height","13.2","",""
"30869","15550","mea","1","","width","11.1","",""
"30870","15550","mea","1","","height","11.4","",""
"30871","15551","mea","1","","width","11.2","",""
"30872","15551","mea","1","","height","13.2","",""
"30873","15552","mea","1","","width","26","",""
"30874","15552","mea","1","","height","24.3","",""
"30875","15553","mea","1","","width","35.7","",""
"30876","15553","mea","1","","height","35.8","",""
"30891","15561","mea","1","","width","20.9","",""
"30892","15561","mea","1","","height","20.8","",""
"30893","15562","mea","1","","width","18.1","",""
"30894","15562","mea","1","","height","13.9","",""
"30895","15563","mea","1","","height","29.3","",""
"30896","15564","mea","1","","height","20.5","",""
"30897","15565","mea","1","","width","42.6","",""
"30898","15565","mea","1","","height","26.2","",""
"30899","15566","mea","1","","width","21","",""
"30900","15566","mea","1","","height","18.1","",""
"30901","15567","mea","1","","width","35.8","",""
"30902","15567","mea","1","","height","25.9","",""
"30903","15568","mea","1","","width","21.2","",""
"30904","15568","mea","1","","height","16.3","",""
"30905","15569","mea","1","","height","25.8","",""
"30906","15570","mea","1","","height","23.7","",""
"30907","15571","mea","1","","height","24.5","",""
"30908","15572","mea","1","","height","27.6","",""
"30909","15573","mea","1","","width","42.5","",""
"30910","15573","mea","1","","height","33.6","",""
"30911","15574","mea","1","","width","13.1","",""
"30912","15575","mea","1","","height","43.6","",""
"30913","15575","mea","1","","width","21.1","",""
"30919","15579","mea","1","","width","21.5","",""
"30920","15579","mea","1","","height","31.6","",""
"30921","15580","mea","1","","width","55.8","",""
"30922","15580","mea","1","","height","45.8","",""
"30923","15581","mea","1","","width","32.1","",""
"30924","15581","mea","1","","height","30.7","",""
"30925","15582","mea","1","","width","25.6","",""
"30926","15582","mea","1","","height","21.2","",""
"30927","15583","mea","1","","width","25.9","",""
"30928","15583","mea","1","","height","22.4","",""
"30929","15584","mea","1","","width","15.7","",""
"30930","15584","mea","1","","height","10.9","",""
"30946","15593","mea","1","","width","10.7","",""
"30947","15594","mea","1","","width","26","",""
"30948","15594","mea","1","","height","29.5","",""
"30949","15595","mea","1","","height","25.6","",""
"30950","15596","mea","1","","height","25.6","",""
"30951","15596","mea","1","","width","35.7","",""
"30952","15597","mea","1","","height","18.9","",""
"30953","15598","mea","1","","width","6.3","",""
"30954","15598","mea","1","","height","8.9","",""
"30955","15599","mea","1","","height","24.5","",""
"30956","15599","mea","1","","width","22.8","",""
"30957","15600","mea","1","","width","14.4","",""
"30958","15600","mea","1","","height","12.8","",""
"30959","15601","mea","1","","height","8.1","",""
"30960","15601","mea","1","","width","7.8","",""
"30961","15602","mea","1","","height","7.5","",""
"30962","15602","mea","1","","width","7.7","",""
"30963","15603","mea","1","","height","6.3","",""
"30964","15603","mea","1","","width","6.4","",""
"30965","15604","mea","1","","height","6.2","",""
"30966","15604","mea","1","","width","4.5","",""
"30967","15605","mea","1","","height","6.2","",""
"30968","15605","mea","1","","width","4.5","",""
"30969","15606","mea","1","","height","6.2","",""
"30970","15606","mea","1","","width","4.6","",""
"30971","15607","mea","1","","height","5.9","",""
"30972","15607","mea","1","","width","4.4","",""
"30973","15608","mea","1","","height","5.9","",""
"30974","15608","mea","1","","width","5.8","",""
"30975","15609","mea","1","","height","5","",""
"30976","15609","mea","1","","width","4.6","",""
"30977","15610","mea","1","","height","4.6","",""
"30978","15610","mea","1","","width","4.5","",""
"30979","15611","mea","1","","height","4.5","",""
"30980","15611","mea","1","","width","4.6","",""
"30981","15612","mea","1","","height","3.7","",""
"30982","15612","mea","1","","width","4.4","",""
"30983","15613","mea","1","","height","3.5","",""
"30984","15613","mea","1","","width","2.9","",""
"30985","15614","mea","1","","height","3.3","",""
"30986","15614","mea","1","","width","4.4","",""
"30987","15615","mea","1","","height","3.3","",""
"30988","15615","mea","1","","width","6.5","",""
"30989","15616","mea","1","","width","8.1","",""
"30990","15617","mea","1","","height","10.7","",""
"30991","15617","mea","1","","width","8.3","",""
"30992","15618","mea","1","","height","8.8","",""
"30993","15618","mea","1","","width","7.6","",""
"30994","15619","mea","1","","height","5.7","",""
"30995","15619","mea","1","","width","4.5","",""
"31018","15631","mea","1","","width","9.9","",""
"31019","15631","mea","1","","height","17.4","",""
"31020","15632","mea","1","","width","6.2","",""
"31021","15632","mea","1","","height","11.4","",""
"31022","15633","mea","1","","width","4.5","",""
"31023","15633","mea","1","","height","6.4","",""
"31024","15634","mea","1","","width","5.5","",""
"31025","15635","mea","1","","width","9.4","",""
"31026","15636","mea","1","","width","6.2","",""
"31027","15637","mea","1","","width","6.2","",""
"31028","15638","mea","1","","width","11.2","",""
"31029","15638","mea","1","","height","20.6","",""
"31030","15639","mea","1","","width","9.5","",""
"31031","15639","mea","1","","height","19.5","",""
"31032","15640","mea","1","","width","10","",""
"31033","15640","mea","1","","height","18.9","",""
"31034","15641","mea","1","","width","10.7","",""
"31035","15641","mea","1","","height","18","",""
"31036","15642","mea","1","","width","11.4","",""
"31037","15642","mea","1","","height","17.7","",""
"31038","15643","mea","1","","width","9.4","",""
"31039","15643","mea","1","","height","16.4","",""
"31040","15644","mea","1","","width","9.4","",""
"31041","15644","mea","1","","height","16.2","",""
"31042","15645","mea","1","","width","9.3","",""
"31043","15645","mea","1","","height","15.9","",""
"31044","15646","mea","1","","width","10.8","",""
"31045","15646","mea","1","","height","14.2","",""
"31046","15647","mea","1","","width","6.3","",""
"31047","15647","mea","1","","height","13.9","",""
"31048","15648","mea","1","","width","8","",""
"31049","15648","mea","1","","height","13.1","",""
"31050","15649","mea","1","","width","8.9","",""
"31051","15649","mea","1","","height","13","",""
"31052","15650","mea","1","","width","6.4","",""
"31053","15650","mea","1","","height","12.7","",""
"31054","15651","mea","1","","width","8.9","",""
"31055","15651","mea","1","","height","12.7","",""
"31056","15652","mea","1","","width","7.7","",""
"31057","15652","mea","1","","height","12.7","",""
"31058","15653","mea","1","","width","8.1","",""
"31059","15653","mea","1","","height","11.3","",""
"31060","15654","mea","1","","width","7.7","",""
"31061","15654","mea","1","","height","11.1","",""
"31062","15655","mea","1","","width","7.7","",""
"31063","15655","mea","1","","height","10.9","",""
"31064","15656","mea","1","","width","5.8","",""
"31065","15656","mea","1","","height","9.5","",""
"31066","15657","mea","1","","width","4.6","",""
"31067","15657","mea","1","","height","9.3","",""
"31068","15658","mea","1","","width","4.5","",""
"31069","15658","mea","1","","height","6.3","",""
"31070","15659","mea","1","","width","8","",""
"31071","15659","mea","1","","height","5.6","",""
"31072","15660","mea","1","","width","8","",""
"31073","15661","mea","1","","width","9.5","",""
"31074","15662","mea","1","","width","7.8","",""
"31075","15663","mea","1","","width","9.2","",""
"31076","15664","mea","1","","width","7.7","",""
"31077","15665","mea","1","","width","7.1","",""
"31078","15666","mea","1","","width","10.7","",""
"31079","15667","mea","1","","width","13.9","",""
"31080","15668","mea","1","","width","13.9","",""
"31081","15669","mea","1","","width","11.6","",""
"31082","15670","mea","1","","width","10.9","",""
"31083","15671","mea","1","","width","11","",""
"31084","15672","mea","1","","width","10.9","",""
"31085","15673","mea","1","","width","10.9","",""
"31086","15674","mea","1","","width","13.1","",""
"31087","15675","mea","1","","width","9.5","",""
"31088","15676","mea","1","","width","11.5","",""
"31089","15677","mea","1","","width","10.8","",""
"31090","15678","mea","1","","width","7.8","",""
"31091","15679","mea","1","","width","9.4","",""
"31092","15680","mea","1","","width","9.5","",""
"31093","15681","mea","1","","width","8.1","",""
"31094","15682","mea","1","","width","8.2","",""
"31095","15683","mea","1","","width","10.8","",""
"31096","15684","mea","1","","width","9.6","",""
"31097","15685","mea","1","","width","8.1","",""
"31098","15686","mea","1","","width","5.8","",""
"31099","15687","mea","1","","width","7.7","",""
"31100","15688","mea","1","","width","6.2","",""
"31101","15689","mea","1","","width","4.3","",""
"31102","15690","mea","1","","width","5.1","",""
"31103","15690","mea","1","","height","5.9","",""
"31104","15691","mea","1","","width","17.7","",""
"31105","15691","mea","1","","height","16","",""
"31106","15692","mea","1","","width","20.9","",""
"31107","15692","mea","1","","height","15.9","",""
"31108","15693","mea","1","","width","15","",""
"31109","15693","mea","1","","height","13.8","",""
"31110","15694","mea","1","","height","13","",""
"31111","15695","mea","1","","width","15","",""
"31112","15695","mea","1","","height","12.7","",""
"31113","15696","mea","1","","width","15","",""
"31114","15696","mea","1","","height","12.6","",""
"31115","15697","mea","1","","height","11.5","",""
"31116","15698","mea","1","","width","13.9","",""
"31117","15698","mea","1","","height","11.2","",""
"31118","15699","mea","1","","width","12.6","",""
"31119","15699","mea","1","","height","11.1","",""
"31120","15700","mea","1","","width","13.1","",""
"31121","15700","mea","1","","height","11.1","",""
"31122","15701","mea","1","","height","8.9","",""
"31123","15701","mea","1","","width","12.7","",""
"31124","15702","mea","1","","height","8.1","",""
"31125","15702","mea","1","","width","11.2","",""
"31126","15703","mea","1","","height","8","",""
"31127","15704","mea","1","","height","4.4","",""
"31128","15704","mea","1","","width","6.4","",""
"31129","15705","mea","1","","width","13","",""
"31130","15706","mea","1","","width","17.7","",""
"31131","15707","mea","1","","height","6.4","",""
"31132","15707","mea","1","","width","9.2","",""
"31133","15708","mea","1","","height","18","",""
"31134","15708","mea","1","","width","8.2","",""
"31135","15709","mea","1","","width","9.5","",""
"31136","15710","mea","1","","width","11.1","",""
"31137","15711","mea","1","","width","8","",""
"31138","15712","mea","1","","width","8","",""
"31139","15713","mea","1","","width","5.9","",""
"31140","15714","mea","1","","width","8.6","",""
"31141","15715","mea","1","","width","8.3","",""
"31142","15716","mea","1","","height","5.8","",""
"31143","15716","mea","1","","width","5.6","",""
"31144","15717","mea","1","","height","3.5","",""
"31145","15717","mea","1","","width","3.8","",""
"31146","15718","mea","1","","height","13.1","",""
"31147","15718","mea","1","","width","5.1","",""
"31148","15719","mea","1","","height","10.7","",""
"31149","15719","mea","1","","width","4.5","",""
"31150","15720","mea","1","","height","9.3","",""
"31151","15720","mea","1","","width","4.3","",""
"31152","15721","mea","1","","height","6.1","",""
"31153","15721","mea","1","","width","3.9","",""
"31154","15722","mea","1","","width","7.8","",""
"31155","15723","mea","1","","width","4.5","",""
"31156","15724","mea","1","","width","12.6","",""
"31157","15724","mea","1","","height","18.9","",""
"31158","15725","mea","1","","width","9.4","",""
"31159","15725","mea","1","","height","14.5","",""
"31160","15726","mea","1","","width","6.4","",""
"31161","15726","mea","1","","height","13.8","",""
"31162","15727","mea","1","","width","7.6","",""
"31163","15727","mea","1","","height","12.2","",""
"31164","15728","mea","1","","width","5.9","",""
"31165","15728","mea","1","","height","6.7","",""
"31166","15729","mea","1","","height","12.5","",""
"31167","15729","mea","1","","width","18.3","",""
"31168","15730","mea","1","","height","7.4","",""
"31169","15730","mea","1","","width","6.2","",""
"31170","15731","mea","1","","height","5.9","",""
"31171","15731","mea","1","","width","4.5","",""
"31172","15732","mea","1","","height","5.1","",""
"31173","15732","mea","1","","width","4.6","",""
"31174","15733","mea","1","","height","17.2","",""
"31175","15733","mea","1","","width","11.9","",""
"31176","15734","mea","1","","width","11","",""
"31177","15734","mea","1","","height","19.5","",""
"31178","15735","mea","1","","width","9.6","",""
"31179","15735","mea","1","","height","16.3","",""
"31180","15736","mea","1","","width","8.4","",""
"31181","15737","mea","1","","width","13.3","",""
"31182","15738","mea","1","","width","11.4","",""
"31183","15739","mea","1","","width","10.4","",""
"31184","15740","mea","1","","width","9.4","",""
"31185","15741","mea","1","","width","5.4","",""
"31186","15742","mea","1","","width","15.7","",""
"31187","15743","mea","1","","width","9.4","",""
"31188","15744","mea","1","","height","21.1","",""
"31189","15745","mea","1","","height","18","",""
"31190","15746","mea","1","","height","16.7","",""
"31191","15747","mea","1","","height","10.9","",""
"31192","15747","mea","1","","width","10.9","",""
"31193","15748","mea","1","","height","8.2","",""
"31194","15748","mea","1","","width","9.5","",""
"31195","15749","mea","1","","height","7.5","",""
"31196","15749","mea","1","","width","7.5","",""
"31197","15750","mea","1","","height","7.5","",""
"31198","15750","mea","1","","width","8.9","",""
"31199","15751","mea","1","","height","5.9","",""
"31200","15751","mea","1","","width","6.4","",""
"31201","15752","mea","1","","width","5.8","",""
"31202","15753","mea","1","","width","14.4","",""
"31203","15754","mea","1","","width","6.4","",""
"31204","15754","mea","1","","height","3.7","",""
"31205","15755","mea","1","","width","30.6","",""
"31206","15755","mea","1","","height","28.8","",""
"31207","15756","mea","1","","width","15.7","",""
"31208","15756","mea","1","","height","9.5","",""
"31209","15757","mea","1","","width","10.6","",""
"31210","15757","mea","1","","height","9.3","",""
"31211","15758","mea","1","","width","13.9","",""
"31212","15758","mea","1","","height","8.9","",""
"31213","15759","mea","1","","width","12.5","",""
"31214","15759","mea","1","","height","8.9","",""
"31215","15760","mea","1","","width","11.3","",""
"31216","15760","mea","1","","height","8.9","",""
"31217","15761","mea","1","","width","12.6","",""
"31218","15761","mea","1","","height","8.9","",""
"31219","15762","mea","1","","width","18.9","",""
"31220","15762","mea","1","","height","8.9","",""
"31221","15763","mea","1","","width","11.2","",""
"31222","15763","mea","1","","height","8.9","",""
"31223","15764","mea","1","","height","8.9","",""
"31224","15765","mea","1","","width","13.7","",""
"31225","15765","mea","1","","height","8.2","",""
"31226","15766","mea","1","","height","8.2","",""
"31227","15767","mea","1","","height","8.1","",""
"31228","15768","mea","1","","height","8.1","",""
"31229","15769","mea","1","","width","13.9","",""
"31230","15769","mea","1","","height","8","",""
"31231","15770","mea","1","","width","12.4","",""
"31232","15770","mea","1","","height","8","",""
"31233","15771","mea","1","","width","11.3","",""
"31234","15771","mea","1","","height","8","",""
"31235","15772","mea","1","","width","13","",""
"31236","15772","mea","1","","height","7.9","",""
"31237","15773","mea","1","","width","10.8","",""
"31238","15773","mea","1","","height","7.9","",""
"31239","15774","mea","1","","width","11.1","",""
"31240","15774","mea","1","","height","7.8","",""
